================================================================================
ESV CROSS-REFERENCE REPOSITIONING - ALL BOOKS
================================================================================

Processing 1_chronicles_1.xml... ✓ 5 verses, 8 crossrefs repositioned
Processing 1_chronicles_10.xml... ✓ 2 verses, 4 crossrefs repositioned
Processing 1_chronicles_11.xml... ✓ 15 verses, 17 crossrefs repositioned
Processing 1_chronicles_12.xml... ✓ 19 verses, 28 crossrefs repositioned
Processing 1_chronicles_13.xml... ✓ 10 verses, 14 crossrefs repositioned
Processing 1_chronicles_14.xml... ✓ 6 verses, 8 crossrefs repositioned
Processing 1_chronicles_15.xml... ✓ 12 verses, 19 crossrefs repositioned
Processing 1_chronicles_16.xml... ✓ 19 verses, 27 crossrefs repositioned
Processing 1_chronicles_17.xml... ✓ 2 verses, 2 crossrefs repositioned
Processing 1_chronicles_18.xml... ✓ 9 verses, 13 crossrefs repositioned
Processing 1_chronicles_19.xml... ✓ 7 verses, 10 crossrefs repositioned
Processing 1_chronicles_2.xml... ✓ 28 verses, 39 crossrefs repositioned
Processing 1_chronicles_20.xml... ✓ 4 verses, 4 crossrefs repositioned
Processing 1_chronicles_21.xml... ✓ 9 verses, 8 crossrefs repositioned
Processing 1_chronicles_23.xml... ✓ 17 verses, 29 crossrefs repositioned
Processing 1_chronicles_24.xml... ✓ 8 verses, 8 crossrefs repositioned
Processing 1_chronicles_25.xml... ✓ 6 verses, 6 crossrefs repositioned
Processing 1_chronicles_26.xml... ✓ 18 verses, 22 crossrefs repositioned
Processing 1_chronicles_27.xml... ✓ 19 verses, 22 crossrefs repositioned
Processing 1_chronicles_28.xml... ✓ 10 verses, 19 crossrefs repositioned
Processing 1_chronicles_29.xml... ✓ 20 verses, 28 crossrefs repositioned
Processing 1_chronicles_3.xml... ✓ 11 verses, 24 crossrefs repositioned
Processing 1_chronicles_4.xml... ✓ 14 verses, 15 crossrefs repositioned
Processing 1_chronicles_5.xml... ✓ 14 verses, 20 crossrefs repositioned
Processing 1_chronicles_6.xml... ✓ 19 verses, 23 crossrefs repositioned
Processing 1_chronicles_7.xml... ✓ 13 verses, 14 crossrefs repositioned
Processing 1_chronicles_8.xml... ✓ 6 verses, 6 crossrefs repositioned
Processing 1_chronicles_9.xml... ✓ 17 verses, 19 crossrefs repositioned
Processing 1_corinthians_1.xml... ✓ 19 verses, 35 crossrefs repositioned
Processing 1_corinthians_10.xml... ✓ 24 verses, 32 crossrefs repositioned
Processing 1_corinthians_11.xml... ✓ 17 verses, 27 crossrefs repositioned
Processing 1_corinthians_12.xml... ✓ 12 verses, 28 crossrefs repositioned
Processing 1_corinthians_13.xml... ✓ 6 verses, 11 crossrefs repositioned
Processing 1_corinthians_14.xml... ✓ 20 verses, 31 crossrefs repositioned
Processing 1_corinthians_15.xml... ✓ 39 verses, 57 crossrefs repositioned
Processing 1_corinthians_16.xml... ✓ 16 verses, 27 crossrefs repositioned
Processing 1_corinthians_2.xml... ✓ 12 verses, 22 crossrefs repositioned
Processing 1_corinthians_3.xml... ✓ 17 verses, 23 crossrefs repositioned
Processing 1_corinthians_4.xml... ✓ 15 verses, 27 crossrefs repositioned
Processing 1_corinthians_5.xml... ✓ 11 verses, 14 crossrefs repositioned
Processing 1_corinthians_6.xml... ✓ 15 verses, 22 crossrefs repositioned
Processing 1_corinthians_7.xml... ✓ 23 verses, 33 crossrefs repositioned
Processing 1_corinthians_8.xml... ✓ 11 verses, 12 crossrefs repositioned
Processing 1_john_1.xml... ✓ 10 verses, 20 crossrefs repositioned
Processing 1_john_2.xml... ✓ 23 verses, 43 crossrefs repositioned
Processing 1_john_3.xml... ✓ 20 verses, 38 crossrefs repositioned
Processing 1_john_4.xml... ✓ 15 verses, 31 crossrefs repositioned
Processing 1_john_5.xml... ✓ 14 verses, 29 crossrefs repositioned
Processing 1_kings_1.xml... ✓ 29 verses, 40 crossrefs repositioned
Processing 1_kings_10.xml... ✓ 9 verses, 11 crossrefs repositioned
Processing 1_kings_11.xml... ✓ 20 verses, 31 crossrefs repositioned
Processing 1_kings_12.xml... ✓ 17 verses, 23 crossrefs repositioned
Processing 1_kings_13.xml... ✓ 13 verses, 15 crossrefs repositioned
Processing 1_kings_14.xml... ✓ 17 verses, 24 crossrefs repositioned
Processing 1_kings_15.xml... ✓ 18 verses, 28 crossrefs repositioned
Processing 1_kings_16.xml... ✓ 14 verses, 23 crossrefs repositioned
Processing 1_kings_17.xml... ✓ 5 verses, 7 crossrefs repositioned
Processing 1_kings_18.xml... ✓ 22 verses, 30 crossrefs repositioned
Processing 1_kings_19.xml... ✓ 15 verses, 25 crossrefs repositioned
Processing 1_kings_20.xml... ✓ 18 verses, 26 crossrefs repositioned
Processing 1_kings_21.xml... ✓ 15 verses, 21 crossrefs repositioned
Processing 1_kings_22.xml... ✓ 29 verses, 34 crossrefs repositioned
Processing 1_kings_3.xml... ✓ 13 verses, 20 crossrefs repositioned
Processing 1_kings_4.xml... ✓ 19 verses, 26 crossrefs repositioned
Processing 1_kings_6.xml... ✓ 14 verses, 13 crossrefs repositioned
Processing 1_kings_8.xml... ✓ 33 verses, 32 crossrefs repositioned
Processing 1_peter_1.xml... ✓ 14 verses, 27 crossrefs repositioned
Processing 1_peter_2.xml... ✓ 19 verses, 37 crossrefs repositioned
Processing 1_peter_3.xml... ✓ 11 verses, 21 crossrefs repositioned
Processing 1_peter_4.xml... ✓ 15 verses, 25 crossrefs repositioned
Processing 1_peter_5.xml... ✓ 10 verses, 26 crossrefs repositioned
Processing 1_samuel_1.xml... ✓ 18 verses, 29 crossrefs repositioned
Processing 1_samuel_10.xml... ✓ 21 verses, 33 crossrefs repositioned
Processing 1_samuel_11.xml... ✓ 10 verses, 19 crossrefs repositioned
Processing 1_samuel_12.xml... ✓ 22 verses, 43 crossrefs repositioned
Processing 1_samuel_13.xml... ✓ 11 verses, 20 crossrefs repositioned
Processing 1_samuel_14.xml... ✓ 31 verses, 43 crossrefs repositioned
Processing 1_samuel_15.xml... ✓ 23 verses, 34 crossrefs repositioned
Processing 1_samuel_16.xml... ✓ 18 verses, 26 crossrefs repositioned
Processing 1_samuel_17.xml... ✓ 34 verses, 51 crossrefs repositioned
Processing 1_samuel_19.xml... ✓ 14 verses, 17 crossrefs repositioned
Processing 1_samuel_2.xml... ✓ 25 verses, 35 crossrefs repositioned
Processing 1_samuel_21.xml... ✓ 7 verses, 9 crossrefs repositioned
Processing 1_samuel_22.xml... ✓ 13 verses, 17 crossrefs repositioned
Processing 1_samuel_23.xml... ✓ 13 verses, 18 crossrefs repositioned
Processing 1_samuel_24.xml... ✓ 15 verses, 20 crossrefs repositioned
Processing 1_samuel_25.xml... ✓ 29 verses, 50 crossrefs repositioned
Processing 1_samuel_26.xml... ✓ 16 verses, 25 crossrefs repositioned
Processing 1_samuel_27.xml... ✓ 7 verses, 13 crossrefs repositioned
Processing 1_samuel_28.xml... ✓ 12 verses, 20 crossrefs repositioned
Processing 1_samuel_29.xml... ✓ 7 verses, 12 crossrefs repositioned
Processing 1_samuel_3.xml... ✓ 11 verses, 13 crossrefs repositioned
Processing 1_samuel_30.xml... ✓ 12 verses, 13 crossrefs repositioned
Processing 1_samuel_31.xml... ✓ 8 verses, 13 crossrefs repositioned
Processing 1_samuel_4.xml... ✓ 14 verses, 17 crossrefs repositioned
Processing 1_samuel_7.xml... ✓ 7 verses, 15 crossrefs repositioned
Processing 1_samuel_8.xml... ✓ 8 verses, 11 crossrefs repositioned
Processing 1_samuel_9.xml... ✓ 13 verses, 18 crossrefs repositioned
Processing 1_thessalonians_1.xml... ✓ 6 verses, 17 crossrefs repositioned
Processing 1_thessalonians_2.xml... ✓ 15 verses, 36 crossrefs repositioned
Processing 1_thessalonians_3.xml... ✓ 7 verses, 13 crossrefs repositioned
Processing 1_thessalonians_4.xml... ✓ 11 verses, 27 crossrefs repositioned
Processing 1_thessalonians_5.xml... ✓ 16 verses, 29 crossrefs repositioned
Processing 1_timothy_1.xml... ✓ 11 verses, 27 crossrefs repositioned
Processing 1_timothy_2.xml... ✓ 10 verses, 13 crossrefs repositioned
Processing 1_timothy_3.xml... ✓ 12 verses, 21 crossrefs repositioned
Processing 1_timothy_4.xml... ✓ 11 verses, 18 crossrefs repositioned
Processing 1_timothy_5.xml... ✓ 16 verses, 26 crossrefs repositioned
Processing 1_timothy_6.xml... ✓ 14 verses, 35 crossrefs repositioned
Processing 2_chronicles_1.xml... ✓ 12 verses, 18 crossrefs repositioned
Processing 2_chronicles_10.xml... ✓ 5 verses, 5 crossrefs repositioned
Processing 2_chronicles_11.xml... ✓ 7 verses, 9 crossrefs repositioned
Processing 2_chronicles_12.xml... ✓ 11 verses, 18 crossrefs repositioned
Processing 2_chronicles_13.xml... ✓ 18 verses, 27 crossrefs repositioned
Processing 2_chronicles_15.xml... ✓ 9 verses, 12 crossrefs repositioned
Processing 2_chronicles_16.xml... ✓ 6 verses, 13 crossrefs repositioned
Processing 2_chronicles_17.xml... ✓ 8 verses, 10 crossrefs repositioned
Processing 2_chronicles_18.xml... ✓ 8 verses, 9 crossrefs repositioned
Processing 2_chronicles_19.xml... ✓ 9 verses, 20 crossrefs repositioned
Processing 2_chronicles_2.xml... ✓ 13 verses, 19 crossrefs repositioned
Processing 2_chronicles_20.xml... ✓ 22 verses, 35 crossrefs repositioned
Processing 2_chronicles_21.xml... ✓ 16 verses, 20 crossrefs repositioned
Processing 2_chronicles_22.xml... ✓ 4 verses, 6 crossrefs repositioned
Processing 2_chronicles_23.xml... ✓ 11 verses, 15 crossrefs repositioned
Processing 2_chronicles_24.xml... ✓ 15 verses, 29 crossrefs repositioned
Processing 2_chronicles_25.xml... ✓ 15 verses, 19 crossrefs repositioned
Processing 2_chronicles_26.xml... ✓ 14 verses, 19 crossrefs repositioned
Processing 2_chronicles_27.xml... ✓ 3 verses, 3 crossrefs repositioned
Processing 2_chronicles_28.xml... ✓ 15 verses, 20 crossrefs repositioned
Processing 2_chronicles_29.xml... ✓ 22 verses, 33 crossrefs repositioned
Processing 2_chronicles_3.xml... ✓ 5 verses, 5 crossrefs repositioned
Processing 2_chronicles_30.xml... ✓ 21 verses, 32 crossrefs repositioned
Processing 2_chronicles_31.xml... ✓ 13 verses, 17 crossrefs repositioned
Processing 2_chronicles_32.xml... ✓ 15 verses, 23 crossrefs repositioned
Processing 2_chronicles_33.xml... ✓ 15 verses, 26 crossrefs repositioned
Processing 2_chronicles_34.xml... ✓ 12 verses, 17 crossrefs repositioned
Processing 2_chronicles_35.xml... ✓ 18 verses, 25 crossrefs repositioned
Processing 2_chronicles_36.xml... ✓ 11 verses, 15 crossrefs repositioned
Processing 2_chronicles_4.xml... ✓ 9 verses, 8 crossrefs repositioned
Processing 2_chronicles_6.xml... ✓ 12 verses, 16 crossrefs repositioned
Processing 2_chronicles_7.xml... ✓ 8 verses, 8 crossrefs repositioned
Processing 2_chronicles_8.xml... ✓ 6 verses, 13 crossrefs repositioned
Processing 2_chronicles_9.xml... ✓ 11 verses, 16 crossrefs repositioned
Processing 2_corinthians_1.xml... ✓ 18 verses, 34 crossrefs repositioned
Processing 2_corinthians_10.xml... ✓ 13 verses, 26 crossrefs repositioned
Processing 2_corinthians_12.xml... ✓ 17 verses, 32 crossrefs repositioned
Processing 2_corinthians_13.xml... ✓ 9 verses, 19 crossrefs repositioned
Processing 2_corinthians_2.xml... ✓ 10 verses, 18 crossrefs repositioned
Processing 2_corinthians_3.xml... ✓ 9 verses, 22 crossrefs repositioned
Processing 2_corinthians_4.xml... ✓ 13 verses, 30 crossrefs repositioned
Processing 2_corinthians_5.xml... ✓ 16 verses, 25 crossrefs repositioned
Processing 2_corinthians_6.xml... ✓ 13 verses, 21 crossrefs repositioned
Processing 2_corinthians_7.xml... ✓ 14 verses, 21 crossrefs repositioned
Processing 2_corinthians_8.xml... ✓ 16 verses, 20 crossrefs repositioned
Processing 2_john_1.xml... ✓ 1 verses, 2 crossrefs repositioned
Processing 2_kings_1.xml... ✓ 11 verses, 13 crossrefs repositioned
Processing 2_kings_10.xml... ✓ 20 verses, 29 crossrefs repositioned
Processing 2_kings_11.xml... ✓ 10 verses, 17 crossrefs repositioned
Processing 2_kings_13.xml... ✓ 13 verses, 20 crossrefs repositioned
Processing 2_kings_14.xml... ✓ 18 verses, 28 crossrefs repositioned
Processing 2_kings_16.xml... ✓ 14 verses, 20 crossrefs repositioned
Processing 2_kings_17.xml... ✓ 22 verses, 44 crossrefs repositioned
Processing 2_kings_18.xml... ✓ 17 verses, 27 crossrefs repositioned
Processing 2_kings_19.xml... ✓ 25 verses, 40 crossrefs repositioned
Processing 2_kings_2.xml... ✓ 15 verses, 21 crossrefs repositioned
Processing 2_kings_20.xml... ✓ 9 verses, 11 crossrefs repositioned
Processing 2_kings_21.xml... ✓ 13 verses, 21 crossrefs repositioned
Processing 2_kings_22.xml... ✓ 13 verses, 14 crossrefs repositioned
Processing 2_kings_3.xml... ✓ 14 verses, 22 crossrefs repositioned
Processing 2_kings_4.xml... ✓ 23 verses, 35 crossrefs repositioned
Processing 2_kings_5.xml... ✓ 17 verses, 25 crossrefs repositioned
Processing 2_kings_6.xml... ✓ 12 verses, 15 crossrefs repositioned
Processing 2_kings_7.xml... ✓ 7 verses, 9 crossrefs repositioned
Processing 2_kings_8.xml... ✓ 22 verses, 30 crossrefs repositioned
Processing 2_kings_9.xml... ✓ 20 verses, 31 crossrefs repositioned
Processing 2_peter_1.xml... ✓ 15 verses, 30 crossrefs repositioned
Processing 2_peter_2.xml... ✓ 13 verses, 25 crossrefs repositioned
Processing 2_peter_3.xml... ✓ 15 verses, 29 crossrefs repositioned
Processing 2_samuel_1.xml... ✓ 19 verses, 26 crossrefs repositioned
Processing 2_samuel_10.xml... ✓ 8 verses, 14 crossrefs repositioned
Processing 2_samuel_11.xml... ✓ 9 verses, 12 crossrefs repositioned
Processing 2_samuel_12.xml... ✓ 12 verses, 19 crossrefs repositioned
Processing 2_samuel_13.xml... ✓ 15 verses, 20 crossrefs repositioned
Processing 2_samuel_14.xml... ✓ 19 verses, 28 crossrefs repositioned
Processing 2_samuel_15.xml... ✓ 27 verses, 45 crossrefs repositioned
Processing 2_samuel_16.xml... ✓ 15 verses, 24 crossrefs repositioned
Processing 2_samuel_17.xml... ✓ 14 verses, 23 crossrefs repositioned
Processing 2_samuel_18.xml... ✓ 14 verses, 21 crossrefs repositioned
Processing 2_samuel_2.xml... ✓ 12 verses, 15 crossrefs repositioned
Processing 2_samuel_20.xml... ✓ 14 verses, 18 crossrefs repositioned
Processing 2_samuel_21.xml... ✓ 13 verses, 21 crossrefs repositioned
Processing 2_samuel_22.xml... ✓ 35 verses, 47 crossrefs repositioned
Processing 2_samuel_23.xml... ✓ 21 verses, 32 crossrefs repositioned
Processing 2_samuel_24.xml... ✓ 18 verses, 24 crossrefs repositioned
Processing 2_samuel_5.xml... ✓ 16 verses, 19 crossrefs repositioned
Processing 2_samuel_6.xml... ✓ 14 verses, 22 crossrefs repositioned
Processing 2_samuel_7.xml... ✓ 19 verses, 27 crossrefs repositioned
Processing 2_samuel_8.xml... ✓ 11 verses, 15 crossrefs repositioned
Processing 2_samuel_9.xml... ✓ 10 verses, 14 crossrefs repositioned
Processing 2_thessalonians_1.xml... ✓ 6 verses, 16 crossrefs repositioned
Processing 2_thessalonians_2.xml... ✓ 10 verses, 28 crossrefs repositioned
Processing 2_thessalonians_3.xml... ✓ 13 verses, 23 crossrefs repositioned
Processing 2_timothy_1.xml... ✓ 15 verses, 33 crossrefs repositioned
Processing 2_timothy_3.xml... ✓ 9 verses, 13 crossrefs repositioned
Processing 2_timothy_4.xml... ✓ 15 verses, 32 crossrefs repositioned
Processing 3_john_1.xml... ✓ 1 verses, 1 crossrefs repositioned
Processing acts_1.xml... ✓ 17 verses, 39 crossrefs repositioned
Processing acts_10.xml... ✓ 29 verses, 52 crossrefs repositioned
Processing acts_12.xml... ✓ 19 verses, 31 crossrefs repositioned
Processing acts_13.xml... ✓ 40 verses, 87 crossrefs repositioned
Processing acts_14.xml... ✓ 17 verses, 36 crossrefs repositioned
Processing acts_15.xml... ✓ 29 verses, 58 crossrefs repositioned
Processing acts_16.xml... ✓ 30 verses, 51 crossrefs repositioned
Processing acts_17.xml... ✓ 24 verses, 45 crossrefs repositioned
Processing acts_18.xml... ✓ 20 verses, 45 crossrefs repositioned
Processing acts_19.xml... ✓ 28 verses, 47 crossrefs repositioned
Processing acts_2.xml... ✓ 35 verses, 63 crossrefs repositioned
Processing acts_20.xml... ✓ 26 verses, 64 crossrefs repositioned
Processing acts_21.xml... ✓ 30 verses, 41 crossrefs repositioned
Processing acts_24.xml... ✓ 18 verses, 28 crossrefs repositioned
Processing acts_27.xml... ✓ 21 verses, 28 crossrefs repositioned
Processing acts_28.xml... ✓ 23 verses, 43 crossrefs repositioned
Processing acts_4.xml... ✓ 27 verses, 33 crossrefs repositioned
Processing acts_6.xml... ✓ 9 verses, 16 crossrefs repositioned
Processing acts_7.xml... ✓ 36 verses, 87 crossrefs repositioned
Processing acts_8.xml... ✓ 26 verses, 42 crossrefs repositioned
Processing acts_9.xml... ✓ 34 verses, 59 crossrefs repositioned
Processing amos_1.xml... ✓ 15 verses, 41 crossrefs repositioned
Processing amos_2.xml... ✓ 13 verses, 25 crossrefs repositioned
Processing amos_3.xml... ✓ 11 verses, 20 crossrefs repositioned
Processing amos_4.xml... ✓ 10 verses, 26 crossrefs repositioned
Processing amos_5.xml... ✓ 19 verses, 31 crossrefs repositioned
Processing amos_6.xml... ✓ 12 verses, 22 crossrefs repositioned
Processing amos_7.xml... ✓ 12 verses, 23 crossrefs repositioned
Processing amos_8.xml... ✓ 13 verses, 24 crossrefs repositioned
Processing amos_9.xml... ✓ 15 verses, 24 crossrefs repositioned
Processing colossians_1.xml... ✓ 19 verses, 47 crossrefs repositioned
Processing colossians_2.xml... ✓ 16 verses, 38 crossrefs repositioned
Processing colossians_3.xml... ✓ 17 verses, 36 crossrefs repositioned
Processing colossians_4.xml... ✓ 12 verses, 21 crossrefs repositioned
Processing daniel_1.xml... ✓ 15 verses, 31 crossrefs repositioned
Processing daniel_10.xml... ✓ 19 verses, 40 crossrefs repositioned
Processing daniel_11.xml... ✓ 25 verses, 40 crossrefs repositioned
Processing daniel_12.xml... ✓ 13 verses, 26 crossrefs repositioned
Processing daniel_2.xml... ✓ 37 verses, 82 crossrefs repositioned
Processing daniel_3.xml... ✓ 24 verses, 55 crossrefs repositioned
Processing daniel_4.xml... ✓ 25 verses, 56 crossrefs repositioned
Processing daniel_5.xml... ✓ 26 verses, 57 crossrefs repositioned
Processing daniel_6.xml... ✓ 23 verses, 61 crossrefs repositioned
Processing daniel_7.xml... ✓ 15 verses, 24 crossrefs repositioned
Processing daniel_8.xml... ✓ 25 verses, 62 crossrefs repositioned
Processing daniel_9.xml... ✓ 23 verses, 56 crossrefs repositioned
Processing deuteronomy_1.xml... ✓ 27 verses, 39 crossrefs repositioned
Processing deuteronomy_10.xml... ✓ 15 verses, 28 crossrefs repositioned
Processing deuteronomy_11.xml... ✓ 17 verses, 19 crossrefs repositioned
Processing deuteronomy_12.xml... ✓ 17 verses, 25 crossrefs repositioned
Processing deuteronomy_13.xml... ✓ 8 verses, 11 crossrefs repositioned
Processing deuteronomy_14.xml... ✓ 8 verses, 13 crossrefs repositioned
Processing deuteronomy_15.xml... ✓ 11 verses, 14 crossrefs repositioned
Processing deuteronomy_16.xml... ✓ 11 verses, 17 crossrefs repositioned
Processing deuteronomy_17.xml... ✓ 9 verses, 14 crossrefs repositioned
Processing deuteronomy_18.xml... ✓ 10 verses, 12 crossrefs repositioned
Processing deuteronomy_19.xml... ✓ 8 verses, 8 crossrefs repositioned
Processing deuteronomy_2.xml... ✓ 17 verses, 32 crossrefs repositioned
Processing deuteronomy_20.xml... ✓ 7 verses, 7 crossrefs repositioned
Processing deuteronomy_21.xml... ✓ 9 verses, 13 crossrefs repositioned
Processing deuteronomy_23.xml... ✓ 10 verses, 9 crossrefs repositioned
Processing deuteronomy_24.xml... ✓ 7 verses, 9 crossrefs repositioned
Processing deuteronomy_25.xml... ✓ 8 verses, 10 crossrefs repositioned
Processing deuteronomy_26.xml... ✓ 10 verses, 10 crossrefs repositioned
Processing deuteronomy_27.xml... ✓ 11 verses, 8 crossrefs repositioned
Processing deuteronomy_28.xml... ✓ 41 verses, 55 crossrefs repositioned
Processing deuteronomy_29.xml... ✓ 10 verses, 11 crossrefs repositioned
Processing deuteronomy_3.xml... ✓ 14 verses, 19 crossrefs repositioned
Processing deuteronomy_30.xml... ✓ 6 verses, 7 crossrefs repositioned
Processing deuteronomy_31.xml... ✓ 26 verses, 47 crossrefs repositioned
Processing deuteronomy_33.xml... ✓ 23 verses, 44 crossrefs repositioned
Processing deuteronomy_34.xml... ✓ 7 verses, 11 crossrefs repositioned
Processing deuteronomy_4.xml... ✓ 32 verses, 50 crossrefs repositioned
Processing deuteronomy_5.xml... ✓ 19 verses, 13 crossrefs repositioned
Processing deuteronomy_7.xml... ✓ 17 verses, 25 crossrefs repositioned
Processing deuteronomy_9.xml... ✓ 17 verses, 25 crossrefs repositioned
Processing ecclesiastes_1.xml... ✓ 14 verses, 20 crossrefs repositioned
Processing ecclesiastes_11.xml... ✓ 7 verses, 12 crossrefs repositioned
Processing ecclesiastes_12.xml... ✓ 8 verses, 10 crossrefs repositioned
Processing ecclesiastes_2.xml... ✓ 20 verses, 38 crossrefs repositioned
Processing ecclesiastes_3.xml... ✓ 19 verses, 31 crossrefs repositioned
Processing ecclesiastes_5.xml... ✓ 12 verses, 19 crossrefs repositioned
Processing ecclesiastes_7.xml... ✓ 24 verses, 35 crossrefs repositioned
Processing ecclesiastes_8.xml... ✓ 13 verses, 24 crossrefs repositioned
Processing ecclesiastes_9.xml... ✓ 13 verses, 24 crossrefs repositioned
Processing ephesians_1.xml... ✓ 15 verses, 37 crossrefs repositioned
Processing ephesians_2.xml... ✓ 14 verses, 35 crossrefs repositioned
Processing ephesians_3.xml... ✓ 9 verses, 20 crossrefs repositioned
Processing ephesians_4.xml... ✓ 20 verses, 43 crossrefs repositioned
Processing ephesians_5.xml... ✓ 20 verses, 36 crossrefs repositioned
Processing ephesians_6.xml... ✓ 15 verses, 28 crossrefs repositioned
Processing esther_1.xml... ✓ 8 verses, 11 crossrefs repositioned
Processing esther_10.xml... ✓ 3 verses, 3 crossrefs repositioned
Processing esther_2.xml... ✓ 12 verses, 17 crossrefs repositioned
Processing esther_3.xml... ✓ 10 verses, 19 crossrefs repositioned
Processing esther_4.xml... ✓ 2 verses, 3 crossrefs repositioned
Processing esther_5.xml... ✓ 9 verses, 15 crossrefs repositioned
Processing esther_6.xml... ✓ 9 verses, 11 crossrefs repositioned
Processing esther_8.xml... ✓ 12 verses, 20 crossrefs repositioned
Processing esther_9.xml... ✓ 15 verses, 24 crossrefs repositioned
Processing exodus_1.xml... ✓ 10 verses, 14 crossrefs repositioned
Processing exodus_10.xml... ✓ 18 verses, 21 crossrefs repositioned
Processing exodus_11.xml... ✓ 7 verses, 8 crossrefs repositioned
Processing exodus_12.xml... ✓ 34 verses, 43 crossrefs repositioned
Processing exodus_15.xml... ✓ 26 verses, 37 crossrefs repositioned
Processing exodus_18.xml... ✓ 15 verses, 21 crossrefs repositioned
Processing exodus_19.xml... ✓ 16 verses, 30 crossrefs repositioned
Processing exodus_2.xml... ✓ 19 verses, 27 crossrefs repositioned
Processing exodus_20.xml... ✓ 12 verses, 13 crossrefs repositioned
Processing exodus_21.xml... ✓ 16 verses, 11 crossrefs repositioned
Processing exodus_24.xml... ✓ 13 verses, 17 crossrefs repositioned
Processing exodus_25.xml... ✓ 22 verses, 18 crossrefs repositioned
Processing exodus_26.xml... ✓ 6 verses, 8 crossrefs repositioned
Processing exodus_27.xml... ✓ 7 verses, 6 crossrefs repositioned
Processing exodus_29.xml... ✓ 25 verses, 30 crossrefs repositioned
Processing exodus_3.xml... ✓ 18 verses, 26 crossrefs repositioned
Processing exodus_30.xml... ✓ 21 verses, 22 crossrefs repositioned
Processing exodus_32.xml... ✓ 28 verses, 39 crossrefs repositioned
Processing exodus_33.xml... ✓ 18 verses, 29 crossrefs repositioned
Processing exodus_35.xml... ✓ 19 verses, 17 crossrefs repositioned
Processing exodus_37.xml... ✓ 4 verses, 2 crossrefs repositioned
Processing exodus_38.xml... ✓ 5 verses, 4 crossrefs repositioned
Processing exodus_39.xml... ✓ 13 verses, 6 crossrefs repositioned
